ticker,date,drop_pts,underlying_open,underlying_high,underlying_low,underlying_close,strike,contract,offset_from_low,opt_open,opt_high,opt_low,opt_close,entry_est,recovery_target,target_price_est,est_gain_pct,contracts,cost_usd,idle_usd,exit_optim_usd,exit_real_usd,exit_conserv_usd,pnl_optim_usd,pnl_real_usd,pnl_conserv_usd,band
IWM,2026-04-23,4.78,276.73,277.87,271.95,275.52,276.0,O:IWM260423C00276000,4.05,1.68,1.99,0.01,0.01,0.01,276.73,0.7800000000000182,7700.000000000182,2,336.0,164.0,398.0,367.0,2.0,62.0,31.0,-334.0,3–5 pts
IWM,2026-04-28,3.13,276.05,276.97,272.915,273.91,275.0,O:IWM260428C00275000,2.08,1.68,2.21,0.01,0.01,0.01,276.05,1.1000000000000114,10900.000000000113,2,336.0,164.0,442.0,388.99999999999994,2.0,106.0,52.99999999999994,-334.0,3–5 pts
IWM,2026-04-29,3.56,273.92,274.38,270.36,272.08,272.0,O:IWM260429C00272000,1.64,2.5,2.62,0.02,0.02,0.02,273.92,1.970000000000016,9750.00000000008,2,500.0,0.0,524.0,512.0,4.0,24.0,12.0,-496.0,3–5 pts
IWM,2026-05-07,6.38,287.53,287.58,281.15,282.26,283.0,O:IWM260507C00283000,1.85,3.98,3.98,0.01,0.02,0.01,287.53,4.5799999999999725,45699.99999999972,1,398.0,102.0,398.0,398.0,2.0,0.0,0.0,-396.0,5–7 pts
IWM,2026-05-12,5.76,284.04,284.06,278.28,282.57,282.0,O:IWM260512C00282000,3.72,1.89,1.89,0.01,0.38,0.01,284.04,2.0900000000000203,20800.000000000204,2,378.0,122.0,378.0,378.0,76.0,0.0,0.0,-302.0,5–7 pts
QQQ,2026-01-08,5.23,623.03,623.42,617.8,620.47,621.0,O:QQQ260108C00621000,3.2,2.95,3.18,0.01,0.01,0.01,623.03,2.0799999999999725,20699.999999999727,1,295.0,205.0,318.0,306.50000000000006,1.0,23.0,11.500000000000057,-294.0,5–7 pts
QQQ,2026-01-13,3.57,627.27,629.47,623.695,626.24,626.0,O:QQQ260113C00626000,2.3,2.36,3.86,0.01,0.35,0.01,627.27,1.3199999999999819,13099.999999999818,2,472.0,28.0,772.0,622.0,70.0,300.0,150.0,-402.0,3–5 pts
QQQ,2026-01-14,7.68,622.24,623.45,614.56,619.55,620.0,O:QQQ260114C00620000,5.44,3.35,4.41,0.01,0.06,0.01,622.24,2.290000000000009,22800.00000000009,1,335.0,165.0,441.0,388.0,6.0,106.0,53.0,-329.0,7–10 pts
QQQ,2026-01-15,5.85,626.6,630.0,620.75,621.78,623.0,O:QQQ260115C00623000,2.25,4.26,4.55,0.01,0.01,0.01,626.6,3.6500000000000226,36400.000000000226,1,426.0,74.0,455.0,440.49999999999994,1.0,29.0,14.499999999999943,-425.0,5–7 pts
QQQ,2026-01-16,6.62,625.5,626.08,618.88,621.26,622.0,O:QQQ260116C00622000,3.12,4.13,4.44,0.01,0.01,0.01,625.5,3.55,35400.0,1,413.0,87.0,444.00000000000006,428.5,1.0,31.000000000000057,15.5,-412.0,5–7 pts
